 3.94784e-11 0 0  0.999961 0.00628319 0 
 1.18436e-10 2.48065e-13 0  0.999882 0.0125661 0 
 2.36872e-10 9.92279e-13 0  0.999763 0.0188486 0 
 3.94784e-10 2.48074e-12 0  0.999605 0.0251303 0 
 5.92168e-10 4.96153e-12 0  0.999408 0.031411 0 
 8.29019e-10 8.68275e-12 0  0.999171 0.0376904 0 
 1.10533e-09 1.38925e-11 0  0.998895 0.0439684 0 
 1.42109e-09 2.08387e-11 0  0.998579 0.0502446 0 
 1.77629e-09 2.97694e-11 0  0.998224 0.0565189 0 
 2.17093e-09 4.09326e-11 0  0.997829 0.0627909 0 
 2.60498e-09 5.45762e-11 0  0.997395 0.0690605 0 
 3.07842e-09 7.09479e-11 0  0.996922 0.0753273 0 
 3.59126e-09 9.02956e-11 0  0.996409 0.0815911 0 
 4.14346e-09 1.12867e-10 0  0.995857 0.0878517 0 
 4.73501e-09 1.38909e-10 0  0.995265 0.0941089 0 
 5.36588e-09 1.6867e-10 0  0.994634 0.100362 0 
 6.03606e-09 2.02397e-10 0  0.993964 0.106612 0 
 6.74552e-09 2.40337e-10 0  0.993254 0.112857 0 
 7.49423e-09 2.82737e-10 0  0.992506 0.119098 0 
 8.28217e-09 3.29844e-10 0  0.991718 0.125334 0 
 9.10931e-09 3.81905e-10 0  0.990891 0.131565 0 
 9.97561e-09 4.39166e-10 0  0.990024 0.137791 0 
 1.0881e-08 5.01874e-10 0  0.989119 0.144011 0 
 1.18256e-08 5.70276e-10 0  0.988174 0.150226 0 
 1.28092e-08 6.44616e-10 0  0.987191 0.156435 0 
 1.38318e-08 7.25141e-10 0  0.986168 0.162638 0 
 1.48935e-08 8.12097e-10 0  0.985107 0.168834 0 
 1.5994e-08 9.05729e-10 0  0.984006 0.175023 0 
 1.71335e-08 1.00628e-09 0  0.982866 0.181206 0 
 1.83119e-08 1.114e-09 0  0.981688 0.187382 0 
 1.95291e-08 1.22913e-09 0  0.980471 0.19355 0 
 2.07851e-08 1.35191e-09 0  0.979215 0.19971 0 
 2.20797e-08 1.4826e-09 0  0.97792 0.205863 0 
 2.34131e-08 1.62142e-09 0  0.976587 0.212007 0 
 2.47851e-08 1.76864e-09 0  0.975215 0.218143 0 
 2.61957e-08 1.92448e-09 0  0.973804 0.22427 0 
 2.76448e-08 2.08919e-09 0  0.972355 0.230389 0 
 2.91324e-08 2.26302e-09 0  0.970868 0.236498 0 
 3.06584e-08 2.44621e-09 0  0.969342 0.242598 0 
 3.22228e-08 2.639e-09 0  0.967777 0.248688 0 
 3.38254e-08 2.84163e-09 0  0.966175 0.254769 0 
 3.54663e-08 3.05434e-09 0  0.964534 0.260839 0 
 3.71454e-08 3.27737e-09 0  0.962855 0.2669 0 
 3.88625e-08 3.51096e-09 0  0.961137 0.272949 0 
 4.06177e-08 3.75536e-09 0  0.959382 0.278988 0 
 4.24109e-08 4.01081e-09 0  0.957589 0.285016 0 
 4.4242e-08 4.27753e-09 0  0.955758 0.291032 0 
 4.61109e-08 4.55578e-09 0  0.953889 0.297037 0 
 4.80176e-08 4.84578e-09 0  0.951982 0.30303 0 
 4.9962e-08 5.14778e-09 0  0.950038 0.309011 0 
 5.1944e-08 5.46202e-09 0  0.948056 0.31498 0 
 5.39635e-08 5.78873e-09 0  0.946037 0.320937 0 
 5.60205e-08 6.12815e-09 0  0.94398 0.326881 0 
 5.81148e-08 6.48051e-09 0  0.941885 0.332811 0 
 6.02465e-08 6.84605e-09 0  0.939753 0.338729 0 
 6.24154e-08 7.22501e-09 0  0.937585 0.344633 0 
 6.46214e-08 7.61762e-09 0  0.935379 0.350524 0 
 6.68645e-08 8.02411e-09 0  0.933135 0.356401 0 
 6.91445e-08 8.44472e-09 0  0.930855 0.362263 0 
 7.14615e-08 8.87968e-09 0  0.928539 0.368111 0 
 7.38152e-08 9.32922e-09 0  0.926185 0.373945 0 
 7.62055e-08 9.79358e-09 0  0.923794 0.379764 0 
 7.86325e-08 1.0273e-08 0  0.921367 0.385568 0 
 8.1096e-08 1.07677e-08 0  0.918904 0.391356 0 
 8.35959e-08 1.12778e-08 0  0.916404 0.397129 0 
 8.61322e-08 1.18038e-08 0  0.913868 0.402886 0 
 8.87046e-08 1.23457e-08 0  0.911295 0.408628 0 
 9.13132e-08 1.29037e-08 0  0.908687 0.414353 0 
 9.39577e-08 1.34783e-08 0  0.906042 0.420062 0 
 9.66382e-08 1.40694e-08 0  0.903362 0.425754 0 
 9.93545e-08 1.46774e-08 0  0.900646 0.431429 0 
 1.02106e-07 1.53026e-08 0  0.897894 0.437087 0 
 1.04894e-07 1.5945e-08 0  0.895106 0.442727 0 
 1.07717e-07 1.6605e-08 0  0.892283 0.448351 0 
 1.10576e-07 1.72828e-08 0  0.889424 0.453956 0 
 1.13469e-07 1.79786e-08 0  0.886531 0.459543 0 
 1.16398e-07 1.86926e-08 0  0.883602 0.465113 0 
 1.19362e-07 1.94251e-08 0  0.880638 0.470663 0 
 1.22361e-07 2.01762e-08 0  0.877639 0.476195 0 
 1.25394e-07 2.09462e-08 0  0.874606 0.481709 0 
 1.28463e-07 2.17353e-08 0  0.871537 0.487203 0 
 1.31566e-07 2.25437e-08 0  0.868434 0.492678 0 
 1.34703e-07 2.33717e-08 0  0.865297 0.498133 0 
 1.37875e-07 2.42194e-08 0  0.862125 0.503568 0 
 1.4108e-07 2.50871e-08 0  0.85892 0.508984 0 
 1.4432e-07 2.5975e-08 0  0.85568 0.514379 0 
 1.47594e-07 2.68832e-08 0  0.852406 0.519754 0 
 1.50902e-07 2.78122e-08 0  0.849098 0.525108 0 
 1.54243e-07 2.87619e-08 0  0.845757 0.530442 0 
 1.57618e-07 2.97327e-08 0  0.842382 0.535754 0 
 1.61026e-07 3.07247e-08 0  0.838974 0.541045 0 
 1.64468e-07 3.17383e-08 0  0.835532 0.546315 0 
 1.67943e-07 3.27735e-08 0  0.832057 0.551563 0 
 1.71451e-07 3.38305e-08 0  0.828549 0.556789 0 
 1.74991e-07 3.49097e-08 0  0.825009 0.561993 0 
 1.78565e-07 3.60112e-08 0  0.821435 0.567175 0 
 1.82171e-07 3.71352e-08 0  0.817829 0.572334 0 
 1.85809e-07 3.82819e-08 0  0.814191 0.57747 0 
 1.8948e-07 3.94515e-08 0  0.81052 0.582584 0 
 1.93183e-07 4.06443e-08 0  0.806817 0.587674 0 
 1.96918e-07 4.18604e-08 0  0.803082 0.592741 0 
 2.00685e-07 4.31e-08 0  0.799315 0.597785 0 
 2.04483e-07 4.43634e-08 0  0.795517 0.602805 0 
